date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2010-02-07 23:53:05,ccna_ccnp,,0,0,0,"Register to https://learningnetwork.cisco.com for gathering in-depth #knowledge about #Cisco technologies #ccna #ccnp",,,#knowledge #Cisco #ccna #ccnp,8785052639,https://twitter.com/ccna_ccnp/status/8785052639
2010-02-07 23:34:22,fivestarprodj,,0,0,0,"29 #Beautiful Pictures of San Francisco - http://bit.ly/92HP0g #photos #cisco RT @2morrowknight",,@2morrowknight,#Beautiful #photos #cisco,8784248649,https://twitter.com/fivestarprodj/status/8784248649
2010-02-07 23:33:19,Bayahta,,0,0,0,"RT @cindyvriend 29 #Beautiful Pictures of San Francisco - http://bit.ly/92HP0g #photos #cisco RT @2morrowknight",,@cindyvriend @2morrowknight,#Beautiful #photos #cisco,8784204004,https://twitter.com/Bayahta/status/8784204004
2010-02-07 23:32:11,cindyvriend,,0,1,1,"29 #Beautiful Pictures of San Francisco - http://bit.ly/92HP0g #photos #cisco RT @2morrowknight",,@2morrowknight,#Beautiful #photos #cisco,8784155307,https://twitter.com/cindyvriend/status/8784155307
2010-02-07 23:26:59,2morrowknight,,0,2,0,"29 #Beautiful Pictures of San Francisco - http://bit.ly/92HP0g #photos #cisco",,,#Beautiful #photos #cisco,8783918018,https://twitter.com/2morrowknight/status/8783918018
2010-02-07 21:18:26,BurnWithTheBush,,0,0,1,"Juniper answers the core network call http://goo.gl/fb/KuRZ #fiercetelecom #100g #alcatellucent #cisco #corerouter",,,#fiercetelecom #100g #alcatellucent #cisco #corerouter,8779232996,https://twitter.com/BurnWithTheBush/status/8779232996
2010-02-07 19:47:40,vegard_s,,0,0,0,"Meeting at #Cisco's office in Oslo tomorrow with customer. Gonna be amazed by the #UCS again...",,,#Cisco #UCS,8776151104,https://twitter.com/vegard_s/status/8776151104
2010-02-07 19:45:55,lowk3y,,0,1,0,"CCIE Hall of Fame - http://bit.ly/dfporf #cisco #ccie",,,#cisco #ccie,8776093009,https://twitter.com/lowk3y/status/8776093009
2010-02-07 19:22:59,brentbarron,,0,0,0,"#ellenpage in a #cisco ad? Is there some venn diagram with a huge overlap of IT people and Juno lovers that I don't know about?",,,#ellenpage #cisco,8775337605,https://twitter.com/brentbarron/status/8775337605
2010-02-07 19:12:29,virtualTodd,,0,0,1,"RT @aarondelp: New Blog Post: Why #VMware's VMmark Score Have Become Useless: http://bit.ly/c28Kqe #Cisco #UCS #HP",,@aarondelp,#VMware #Cisco #UCS #HP,8774993111,https://twitter.com/virtualTodd/status/8774993111
2010-02-07 17:41:17,iama1ice,,0,0,0,"Received the #Cisco 25th anniversary #Flip MinoHD from the Cisco's Got Talent contest http://twitpic.com/11x2ix",,,#Cisco #Flip,8772000810,https://twitter.com/iama1ice/status/8772000810
2010-02-07 16:35:20,cabling_one,,0,0,0,"#cisco Security of Cisco TKIP implementation on older products: Hello I am still using Cisco AIR-352 with 12.3(8) ... http://bit.ly/atX9PT",,,#cisco,8769881845,https://twitter.com/cabling_one/status/8769881845
2010-02-07 16:24:51,telecomer,,0,0,0,"#cisco Security of Cisco TKIP implementation on older products: Hello I am still using Cisco AIR-352 with 12.3(8) ... http://bit.ly/drQuXJ",,,#cisco,8769542688,https://twitter.com/telecomer/status/8769542688
2010-02-07 15:54:36,sourcecode_de,,0,0,0,"tristan: http://is.gd/7SJLS <- on linux it's named bonding, on windows teaming, and on #cisco e.g. bond mode 1 portchannel !ubuntu",,,#cisco,8768560736,https://twitter.com/sourcecode_de/status/8768560736
2010-02-07 15:32:46,rtehrani,,0,0,0,"#PepsiCo Deploys #Cisco #Telepresence Systems Across Its Major Offices: http://bit.ly/cH56MR",,,#PepsiCo #Cisco #Telepresence,8767864953,https://twitter.com/rtehrani/status/8767864953
2010-02-07 14:58:04,virtualTodd,,0,0,0,"It's NOT useless! -> RT @aarondelp: New Blog Post: Why #VMware's VMmark Score Have Become Useless: http://bit.ly/c28Kqe #Cisco #UCS #HP",,@aarondelp,#VMware #Cisco #UCS #HP,8766755347,https://twitter.com/virtualTodd/status/8766755347
2010-02-07 14:46:49,unixplayer,,0,0,0,"RT @aarondelp: New Blog Post: Why #VMware's VMmark Score Have Become Useless: http://bit.ly/c28Kqe #Cisco #UCS #HP",,@aarondelp,#VMware #Cisco #UCS #HP,8766411892,https://twitter.com/unixplayer/status/8766411892
2010-02-07 14:02:38,aarondelp,,0,1,0,"New Blog Post: Why #VMware's VMmark Score Have Become Useless: http://bit.ly/c28Kqe #Cisco #UCS #HP",,,#VMware #Cisco #UCS #HP,8765097855,https://twitter.com/aarondelp/status/8765097855
2010-02-07 12:55:19,cabling_one,,0,0,0,"#cisco I BUY used, new and refurbed Cisco, Lucent, Brocade, Nortel,...: I BUY used, new and refurbed Cisco, Lucent... http://bit.ly/c0qn07",,,#cisco,8763314761,https://twitter.com/cabling_one/status/8763314761
2010-02-07 08:59:47,davekrunal83,,0,0,0,"If you are one who loves #Cisco technology or networking or #CCNA/ #CCNP, follow me on @secxisco where Cisco is sexy!",,@secxisco,#Cisco #CCNA #CCNP,8758401629,https://twitter.com/davekrunal83/status/8758401629
2010-02-07 06:45:18,ccna_ccnp,,0,0,0,"To save bandwidth and CPU usage, use IP Helper-address command to convert broadcast into specific destination address #cisco #ccnp #notes",,,#cisco #ccnp #notes,8755328571,https://twitter.com/ccna_ccnp/status/8755328571
2010-02-07 06:41:55,ccna_ccnp,,0,0,0,"With #OSPF, we can configure summarization only at Area Border Router (ABR) #cisco #ccnp #notes",,,#OSPF #cisco #ccnp #notes,8755241173,https://twitter.com/ccna_ccnp/status/8755241173
2010-02-07 01:25:30,cabling_one,,0,0,0,"#cisco Routing between Primary and Seconday IP addresses: I am using a Cisco 871 router. The internal interface is... http://bit.ly/bPHGEv",,,#cisco,8744816253,https://twitter.com/cabling_one/status/8744816253
2010-02-07 01:14:49,telecomer,,0,0,0,"#cisco Routing between Primary and Seconday IP addresses: I am using a Cisco 871 router. The internal interface is... http://bit.ly/cBwg9y",,,#cisco,8744447876,https://twitter.com/telecomer/status/8744447876
2010-02-07 00:40:53,netsec10,,0,0,0,"I often wonder how much of this #Cisco gear is floating around in the US...Ebay? | Chinese man gets 30 months... | http://bit.ly/ckafLh",,,#Cisco,8743253399,https://twitter.com/netsec10/status/8743253399
